뜻,단어,품사
버리다,abandon,NN
할 수 있는,able,JJ
배로,aboard,NN
외국으로,abroad,RB
부재의,absent,NN
절대의,absolute,NN
흡수하다,absorb,NN
추상적인,abstract,NN
풍부한,abundant,NN
남용,abuse,NN
가속하다 속도가 가해지다,accelerate,NN
받아들이다,accept,NN
접근,access,NN
수용하다,accommodate,NN
동반하다,accompany,NN
이루다,accomplish,NN
설명하다 계산,account,NN
정확한,accurate,NN
고발하다,accuse,NN
성취하다,achieve,NN
산 신,acid,NN
인정하다,acknowledge,NN
얻다,acquire,VB
활동적으로 하다,activate,NN
현실의,actual,JJ
날카로운,acute,NN
적용시키다,adapt,NN
열중하게 하다,addict,NN
충분한,adequate,NN
맞추다,adjust,NN
관리하다,administer,NN
감복하다,admire,NN
입장,admission,NN
받아들이다,admit,NN
청년기의,adolescent,NN
채용하다,adopt,NN
나아가다,advance,NN
유리한 입장,advantage,NN
광고하다,advertize,VB
변호사,advocate,NN
일,affair,NN
영향을 주다,affect,NN
애정,affection,NN
여유가 있다,afford,NN
기능,agency,NN
안건,agenda,NN
대리인,agent,NN
침략적인,aggressive,JJ
농업,agriculture,NN
도와 주다,aid,NN
겨누다,aim,NN
항공기,aircraft,NN
측면복도,aisle,NN
빈틈없는,alert,NN
외국의,alien,NN
비슷한,alike,RB
살아있는,alive,JJ
허락하다,allow,VB
동맹하다,ally,RB
-의 곁에,alongside,RB
바꾸다,alter,NN
어느 한쪽의 양자택일,alternative,NN
비록 -일지라도,although,IN
전혀,altogether,RB
깜짝 놀라게 하다,amaze,NN
대사,ambassador,NN
야심,ambition,NN
-중에,among,IN
(금액이)-이 되다,amount,NN
재미나게 하다,amuse,NN
분해하다,analyze,NN
닻,anchor,NN
옛날의,ancient,NN
각,angle,NN
기념일 예년의,anniversary,NN
알리다,announce,NN
귀찮게하다,annoy,NN
일년의,annual,JJ
예기하다,anticipate,NN
근심,anxiety,NN
걱정되는,anxious,JJ
떨어져서,apart,RB
사과,apology,NN
명백한,apparent,NN
간청하다,appeal,NN
나타나다,appear,VB
지원자,applicant,NN
(물건을)대다,apply,VB
지정하다,appoint,NN
감상하다,appreciate,NN
다가가다,approach,NN
적당한,appropriate,NN
시인하다,approve,VB
어림셈의,approximate,NN
건축가,architect,NN
건축,architecture,NN
논하다,argue,NN
생기다,arise,NN
육군,army,NN
가지런히 하다,arrange,NN
체포하다,arrest,NN
화살,arrow,NN
물품,article,NN
인공의,artificial,JJ
회,ash,NN
곁에,aside,RB
잠들은,asleep,NN
관점,aspect,NN
열망하다,aspire,NN
모으다,assemble,JJ
단언하다,assert,NN
(세금 등을)사정하다,assess,NN
자산,asset,NN
할당하다,assign,NN
돕다,assist,NN
연상하다,associate,NN
취하다,assume,VB
보증하다,assure,NN
놀라게 하다,astonish,JJ
운동가,athlete,NN
대기,atmosphere,RB
원자,atom,NN
붙이다,attach,NN
공격하다,attack,NN
이르다,attain,NN
시도하다,attempt,NN
출석하다,attend,NN
주의,attention,NN
태도,attitude,NN
끌어 당기다,attract,NN
속성,attribute,NN
경매,auction,NN
청중,audience,NN
저자,author,NN
자서전,autobiography,NN
자동의,automatic,JJ
자동차 자동차의,automobile,NN
쓸모있는,available,JJ
가로수길,avenue,NN
평균,average,JJ
피하다,avoid,NN
기다리다,await,NN
깨우다,awake,NN
상,award,NN
알고 있는,aware,JJ
무서운,awesome,NN
두려운,awful,NN
어색한,awkward,NN
균형,balance,NN
금지,ban,NN
강타,bang,NN
막대기,bar,NN
벌거벗은,bare,NN
매매,bargain,NN
짖다,bark,NN
헛간,barn,NN
장벽,barrier,NN
기초,basis,NN
만,bay,NN
광선,beam,NN
턱수염,beard,NN
짐승,beast,NN
치다,beat,NN
맥주,beer,NN
청하다,beg,NN
위함,behalf,NN
행동하다,behave,NN
행동,behavior,NN
속하다,belong,NN
구부리다,bend,NN
-의 바로 아래에,beneath,NN
이익,benefit,NN
액과,berry,NN
걸다,bet,NN
배반하다,betray,NN
저편에,beyond,IN
치우침,bias,NN
"성서, 성경",bible,JJ
10억,billion,CD
궤,bin,NN
매다,bind,NN
전기,biography,NN
생물학,biology,NN
bite의 과거(분사) 작은 조각,bit,NN
쓴,bitter,NN
책망하다,blame,NN
공백,blank,NN
담요,blanket,NN
혼합하다,blend,NN
축복하다,bless,NN
눈먼,blind,NN
(눈을)깜빡거리다,blink,NN
(살결이 흰)금발의 여성,blonde,NN
쇳덩이,bloom,NN
(과수의)꽃,blossom,NN
강타,blow,NN
끓다,boil,NN
대담한,bold,NN
결속,bond,NN
굉음,boom,NN
뒤를 밀기,boost,NN
가장자리,border,NN
고조,bore,NN
괴롭히다 근심하다 귀찮음,bother,NN
뛰어오르다,bounce,NN
경계,boundary,NN
절,bow,NN
가슴,breast,NN
숨쉬다,breathe,NN
미풍,breeze,NN
벽돌,brick,NN
신부,bride,NN
단시간의,brief,NN
빛나는,brilliant,NN
(폭이)넓은,broad,JJ
방송하다,broadcast,NN
예산,budget,NN
황소,bull,NN
탄환,bullet,NN
약한 자를 못살게 구는 자,bully,RB
충돌 부딪치다,bump,NN
송이,bunch,NN
다발,bundle,NN
후렴,burden,NN
파열하다,burst,NN
묻다,bury,NN
덤불,bush,NN
정육점주인,butcher,NN
윙윙거리는 소리,buzz,NN
택시,cab,NN
선실,cabin,NN
해저전신,cable,NN
계산하다,calculate,NN
취소하다,cancel,NN
암,cancer,NN
지원자,candidate,NN
돛베,canvas,NN
할 수 있는,capable,JJ
곶,cape,NN
수위의,capital,NN
붙잡다(=catch),capture,NN
경력,career,NN
조각하다,carve,NN
던지다,cast,NN
우연한,casual,JJ
범주,category,NN
소,cattle,NNS
원인의,causal,NN
원인,cause,NN
조심,caution,NN
